no_of_accidents,accident_severity,number_of_vehicles,number_of_casualties,first_road_class,first_road_number,road_type,speed_limit,junction_detail,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,year,hour,day_1,day_2,day_3,day_4,day_5,day_6,day_7,location,month
1.0,3.0,2.0,1.0,3.0,4540.0,3.0,30.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0
2.0,3.0,2.0,2.0,3.0,0.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,5.0
1.0,3.0,2.0,1.0,4.0,4284.0,6.0,30.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,7.0
1.0,2.0,1.0,1.0,3.0,456.0,3.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.0
2.0,2.0,2.0,3.0,3.0,4217.0,2.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,10.0
3.0,3.0,6.0,3.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,100.0,11.0
1.0,2.0,2.0,2.0,3.0,4540.0,3.0,30.0,6.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,1.0,2.0,2019.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,2.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,4.0
2.0,2.0,4.0,2.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,8.0
1.0,3.0,1.0,1.0,3.0,4540.0,3.0,40.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2019.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,9.0
1.0,3.0,2.0,1.0,3.0,4540.0,3.0,30.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,11.0
1.0,3.0,1.0,1.0,3.0,456.0,3.0,30.0,8.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,2020.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2020.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,2.0
1.0,3.0,2.0,1.0,3.0,456.0,7.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,1.0,2.0,2020.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0
1.0,3.0,2.0,1.0,3.0,4540.0,3.0,40.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.0
1.0,3.0,4.0,1.0,3.0,4540.0,7.0,30.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2020.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,11.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2017.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,0.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,2.0
2.0,3.0,4.0,2.0,3.0,441.0,6.0,30.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2017.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,3.0
1.0,2.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,4.0
3.0,3.0,7.0,4.0,3.0,0.0,6.0,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,101.0,6.0
1.0,3.0,3.0,1.0,3.0,441.0,1.0,30.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2017.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,7.0
3.0,3.0,5.0,5.0,3.0,4540.0,3.0,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,101.0,8.0
1.0,3.0,2.0,1.0,3.0,4540.0,3.0,30.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,0.0
1.0,3.0,1.0,1.0,3.0,441.0,3.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,1.0
2.0,3.0,3.0,2.0,3.0,38.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,4.0
2.0,3.0,4.0,3.0,3.0,4540.0,1.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,101.0,6.0
2.0,2.0,3.0,2.0,3.0,38.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,101.0,7.0
2.0,3.0,4.0,2.0,3.0,0.0,3.0,30.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,101.0,9.0
1.0,3.0,1.0,2.0,3.0,30.0,3.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,10.0
2.0,2.0,3.0,2.0,3.0,441.0,1.0,30.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,101.0,0.0
4.0,3.0,7.0,4.0,3.0,441.0,6.0,30.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,101.0,1.0
2.0,3.0,4.0,2.0,3.0,0.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,101.0,2.0
2.0,3.0,4.0,2.0,3.0,4540.0,1.0,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,3.0
2.0,2.0,3.0,2.0,3.0,441.0,6.0,30.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2019.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,4.0
1.0,3.0,2.0,1.0,3.0,4540.0,1.0,30.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,6.0
4.0,3.0,6.0,7.0,3.0,38.0,3.0,30.0,3.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,101.0,8.0
3.0,3.0,6.0,3.0,3.0,441.0,6.0,30.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2019.0,18.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,101.0,9.0
1.0,3.0,2.0,1.0,3.0,441.0,1.0,30.0,1.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,1.0,2.0,2019.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,10.0
2.0,3.0,4.0,2.0,3.0,0.0,6.0,30.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2020.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,101.0,1.0
1.0,3.0,2.0,1.0,3.0,4540.0,3.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,2.0
1.0,3.0,1.0,1.0,3.0,38.0,3.0,30.0,5.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,4.0
1.0,2.0,1.0,1.0,3.0,441.0,6.0,30.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,6.0
2.0,3.0,4.0,5.0,3.0,441.0,1.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,101.0,7.0
2.0,3.0,4.0,2.0,3.0,0.0,6.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,101.0,8.0
1.0,3.0,2.0,2.0,3.0,441.0,1.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,10.0
1.0,3.0,2.0,1.0,3.0,4540.0,7.0,30.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,11.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2017.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,0.0
1.0,3.0,2.0,3.0,6.0,0.0,6.0,30.0,9.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,3.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0,4.0
1.0,3.0,2.0,4.0,3.0,4540.0,3.0,40.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,0.0
1.0,3.0,2.0,3.0,6.0,0.0,6.0,20.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,10.0
2.0,2.0,5.0,4.0,3.0,441.0,6.0,30.0,6.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,102.0,5.0
2.0,3.0,3.0,2.0,3.0,441.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,102.0,0.0
2.0,3.0,5.0,2.0,3.0,441.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,7.0
1.0,3.0,2.0,1.0,3.0,38.0,6.0,30.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,0.0
1.0,3.0,3.0,1.0,3.0,38.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0,2.0
1.0,3.0,2.0,1.0,6.0,0.0,9.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.0,4.0
2.0,3.0,3.0,2.0,3.0,38.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,103.0,5.0
1.0,3.0,1.0,1.0,3.0,38.0,6.0,30.0,9.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,1.0
1.0,3.0,2.0,1.0,3.0,38.0,6.0,30.0,8.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2018.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103.0,4.0
1.0,2.0,1.0,1.0,6.0,0.0,6.0,30.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103.0,8.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,11.0
4.0,3.0,8.0,8.0,3.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,103.0,5.0
2.0,3.0,4.0,3.0,4.0,0.0,6.0,30.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2019.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,103.0,11.0
1.0,3.0,2.0,1.0,3.0,38.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,4.0
2.0,3.0,4.0,3.0,3.0,38.0,3.0,30.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,104.0,3.0
1.0,3.0,3.0,1.0,3.0,4040.0,6.0,40.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.0,5.0
1.0,3.0,1.0,1.0,3.0,38.0,3.0,40.0,6.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,6.0
1.0,2.0,1.0,1.0,3.0,4040.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,9.0
1.0,3.0,2.0,1.0,3.0,4040.0,3.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,104.0,10.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,1.0,2.0,2018.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.0,4.0
4.0,3.0,12.0,8.0,3.0,0.0,3.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,104.0,6.0
1.0,2.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,11.0
2.0,2.0,4.0,2.0,3.0,38.0,3.0,30.0,3.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2019.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,104.0,0.0
1.0,2.0,2.0,2.0,3.0,4040.0,3.0,30.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2019.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,10.0
1.0,3.0,1.0,1.0,3.0,4040.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.0,11.0
1.0,3.0,2.0,1.0,3.0,4040.0,3.0,30.0,3.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,2020.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,5.0
1.0,3.0,2.0,3.0,3.0,4040.0,3.0,30.0,7.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2020.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,7.0
1.0,2.0,1.0,1.0,3.0,4040.0,3.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,10.0
1.0,3.0,2.0,1.0,6.0,0.0,3.0,30.0,9.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,1.0,2.0,2020.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,11.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,7.0
1.0,3.0,2.0,1.0,3.0,4040.0,6.0,30.0,9.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2017.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,10.0
1.0,3.0,2.0,1.0,3.0,4040.0,3.0,30.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,0.0
1.0,3.0,1.0,1.0,3.0,4040.0,3.0,30.0,6.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0
1.0,3.0,4.0,1.0,6.0,0.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,6.0
3.0,3.0,5.0,5.0,6.0,0.0,6.0,30.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,105.0,10.0
1.0,2.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2018.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,11.0
1.0,3.0,2.0,5.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,105.0,2.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,3.0
1.0,2.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,7.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,8.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,9.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,10.0
1.0,2.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2020.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,4.0
1.0,3.0,1.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2020.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,9.0
1.0,3.0,2.0,2.0,3.0,4040.0,6.0,30.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,6.0
3.0,3.0,6.0,5.0,3.0,5127.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,106.0,7.0
4.0,3.0,8.0,7.0,3.0,5127.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,106.0,8.0
1.0,3.0,2.0,1.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2017.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,10.0
1.0,3.0,3.0,3.0,3.0,4040.0,6.0,30.0,6.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2017.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,11.0
3.0,3.0,4.0,3.0,3.0,5127.0,6.0,30.0,3.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2018.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,106.0,0.0
2.0,2.0,3.0,2.0,3.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0
2.0,2.0,3.0,2.0,3.0,4127.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,106.0,3.0
3.0,3.0,8.0,3.0,6.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,106.0,4.0
1.0,2.0,1.0,1.0,3.0,5127.0,6.0,30.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,5.0
3.0,3.0,7.0,3.0,3.0,5127.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.0,6.0
1.0,3.0,2.0,1.0,3.0,5127.0,6.0,30.0,8.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2018.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,8.0
2.0,3.0,3.0,2.0,3.0,5127.0,6.0,30.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2018.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,106.0,10.0
1.0,2.0,1.0,1.0,3.0,5127.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.0,0.0
2.0,3.0,4.0,3.0,3.0,0.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,5.0
2.0,3.0,4.0,3.0,3.0,4040.0,6.0,30.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2019.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,106.0,11.0
1.0,3.0,3.0,2.0,3.0,5127.0,6.0,30.0,3.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2020.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,0.0
1.0,3.0,1.0,1.0,3.0,5127.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2020.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,1.0
